Frage,Option A,Option B,Option C,Option D,Richtige Antwort
Welche drei Verfahren gibt es zur Bedarfsermittlung?,"Deterministisch, stochastisch, heuristisch","Deterministisch, probabilistisch, intuitiv","Stochastisch, probabilistisch, heuristisch","Intuitiv, deterministisch, probabilistisch","Deterministisch, stochastisch, heuristisch"
Welche der folgenden Größen gehört nicht zu einem Bestandsverlauf?,Meldebestand,Sicherheitsbestand,Reorder Level,Wiederbeschaffungszeit,Reorder Level
Was ist das auslösende Moment der Bestellung im Meldebestandsverfahren?,Zeitpunkt,Verbrauch,Bestand,Produktionsmenge,Bestand
Was enthält eine Mengenstückliste?,Alle Bau- und Einzelteile ohne Mengen,Nur die ersten Fertigungsstufen der Endprodukte,Alle Bau- und Einzelteile mit ihren Mengen,Nur die wichtigsten Bauteile,Alle Bau- und Einzelteile mit ihren Mengen
Was stellt ein Gozinto-Graph dar?,Eine Hierarchie der Produktionsschritte,Die Mengenbeziehungen zwischen verschiedenen Komponenten,Eine Zeitachse der Produktion,Den Produktionsfluss,Die Mengenbeziehungen zwischen verschiedenen Komponenten
Welche Bereiche umfasst die Logistik?,"Beschaffungslogistik, Produktionslogistik, Distributionslogistik, Entsorgungslogistik","Beschaffungslogistik, Fertigungslogistik, Verkaufslogistik, Recyclinglogistik","Beschaffungslogistik, Produktionslogistik, Finanzlogistik, Entsorgungslogistik","Distributionslogistik, Verkaufslogistik, Rückführungslogistik, Produktionslogistik","Beschaffungslogistik, Produktionslogistik, Distributionslogistik, Entsorgungslogistik"
Was ist der Unterschied zwischen Logistik und Supply Chain Management (SCM)?,"Logistik bezieht sich nur auf den Transport, SCM umfasst alle Unternehmensbereiche.","Logistik ist auf innerbetriebliche Material- und Informationsflüsse fokussiert, während SCM die Optimierung der gesamten Versorgungskette durch überbetriebliche Zusammenarbeit anstrebt.",Logistik und SCM sind vollständig identisch.,"SCM konzentriert sich ausschließlich auf die Lagerung, während Logistik den gesamten Warenfluss abdeckt.","Logistik ist auf innerbetriebliche Material- und Informationsflüsse fokussiert, während SCM die Optimierung der gesamten Versorgungskette durch überbetriebliche Zusammenarbeit anstrebt."
Welche der folgenden Logistikleistungen ist kein Leistungsziel?,Lieferfähigkeit,Sendungsqualität,Termintreue,Lagerbestandsoptimierung,Lagerbestandsoptimierung
Welche Aussage beschreibt einen Zielkonflikt in der Logistik?,Reduzierung der Bestände bei gleichzeitiger Erhöhung der Lieferfähigkeit.,"Bündelung von Mengen, um Verpackungsaufwand zu minimieren.",Steigerung der Produktionsmenge ohne Anpassung der Lagerkapazitäten.,Alle oben genannten.,Alle oben genannten.
Welche Phase ist im Prozessmodell der Logistik nicht enthalten?,Auftragsabwicklung,CRM,Rückführung,Produktdesign,Produktdesign
Welche Aufgabe gehört zur Distributionslogistik?,Produktionsplanung und -steuerung,Auftragsabwicklung,Einkaufsmanagement,Wareneingangskontrolle,Auftragsabwicklung
Was versteht man unter 'Puffern' in der Lagerlogistik?,Langfristige Lagerung von Produkten zur Verkaufssteigerung,Temporäre Lagerung zur Vermeidung von Unterbrechungen in der Bereitstellkette,Zwischenlagerung von überschüssigen Materialien,Permanente Lagerhaltung für schnelle Verfügbarkeit,Temporäre Lagerung zur Vermeidung von Unterbrechungen in der Bereitstellkette
Welche Funktion wird nicht durch die Verpackung erfüllt?,Schutzfunktion,Identifikationsfunktion,Produktionssteuerungsfunktion,Werbungsfunktion,Produktionssteuerungsfunktion
